target	allsnps_true_best_published_p	allsnps_true_northmac_p	allsnps_true_northmac_pass	allsnps_false_best_published_source	allsnps_false_best_published_p	allsnps_false_northmac_p	allsnps_false_northmac_pass
Croatian	0.00163120562862023	0.6065424975093949	TRUE	CroatiaSerbia_RomanLocal	2.266626797743074e-9	0.2031456772096531	TRUE
Serbian_Serb	0.01206584494186876	0.4042183743077406	TRUE	CroatiaSerbia_RomanLocal	2.87439011667698e-9	0.050191689065493844	TRUE
Romanian	0.00499605795599995	0.24636957808881893	TRUE	CroatiaSerbia_RomanLocal	3.3682944736347003e-7	0.15337641821374795	TRUE
Bulgarian	0.00220120255848968	0.6687871253877575	TRUE	CroatiaSerbia_RomanLocal	6.698013551541164e-10	0.20620257885383247	TRUE
Albanian	0.04007887182699127	0.9711731726631664	TRUE	CroatiaSerbia_RomanLocal	3.049086669551295e-5	0.9622416473855651	TRUE
Greek	0.04005057250149366	0.91524254375621	TRUE	CroatiaSerbia_RomanLocal	6.234077784009191e-8	0.3131014510359195	TRUE
Cypriot	0.00981355878018485	0.6665778231885519	TRUE	CroatiaSerbia_RomanLocal	0.014461253795459835	0.917566836276864	TRUE
